word,n
ones,328
round,328
general,327
available,325
boy,325
card,325
youll,325
chicago,324
tax,324
goal,323
record,322
obama,321
happened,320
age,319
bar,318
low,318
player,317
weve,317
ass,316
definitely,316
himself,316
include,316
looked,316
lives,315
trip,315
fine,314
hair,314
send,314
super,314
fuck,313
per,313
personal,313
shot,313
yesterday,313
energy,312
cost,311
major,311
page,311
sounds,311
wanna,311
wednesday,311
ya,311
longer,309
jobs,308
ohio,308
race,308
youve,307
happen,306
wonderful,306
nearly,305
rock,305
interesting,304
began,303
east,303
hold,303
n,303
washington,303
boys,302
o,302
p,301
paper,301
lunch,300
r,300
recent,299
vote,299
waiting,299
cold,298
education,297
middle,297
star,297
wine,297
cover,296
email,296
wow,296
brown,295
career,295
finished,295
recently,295
sales,295
dog,294
price,294
return,294
ur,294
act,293
funny,293
giving,293
success,293
father,291
c,290
conference,290
e,290
issues,290
usually,290
campaign,289
james,289
facebook,288
lots,288
study,288
huge,287
knows,287
piece,285
stand,285
worked,285
continue,284
drink,284
human,284
seem,284
met,283
companies,282
blue,281
jersey,281
questions,281
simply,281
decision,280
feet,280
seriously,280
door,279
spend,279
church,278
dead,278
died,278
hands,278
likely,278
problems,278
create,277
football,277
services,277
expected,276
picture,276
perhaps,275
plans,275
challenge,274
coffee,274
main,274
fan,273
damn,272
weather,272
x,272
arent,271
became,271
whose,271
action,270
brought,270
band,269
cleveland,269
key,268
sign,268
sports,267
sun,267
save,265
website,265
dark,264
heat,264
oil,264
spot,264
current,263
ball,262
forget,262
political,262
step,262
track,262
earlier,261
ways,261
due,260
held,260
missed,260
okay,260
plus,259
above,258
america,258
followers,258
budget,257
learned,257
paid,257
pass,257
non,256
california,255
ground,255
research,255
answer,254
focus,254
beach,253
council,253
hall,253
re,253
term,253
design,252
example,252
fresh,252
june,252
medical,252
moving,252
received,252
fast,251
themselves,251
wonder,251
seven,250
staff,250
brother,249
cannot,249
color,249
sound,249
whatever,249
co,248
difficult,248
gotta,248
practice,248
simple,248
luck,247
beat,246
billion,246
busy,246
husband,246
join,246
member,246
sent,246
eye,245
provide,245
sad,245
united,245
completely,244
dance,244
form,244
offer,244
style,244
deep,243
stories,243
wrote,243
mine,242
walking,242
afternoon,241
bowl,241
hurt,241
paul,241
role,241
training,241
voice,241
double,240
hi,240
opening,240
release,240
student,240
alone,239
dr,239
jesus,239
passed,238
cute,237
entire,237
exactly,237
moved,237
omg,237
fight,236
rights,236
changes,235
higher,235
private,235
totally,235
lose,234
relationship,234
sex,234
chief,233
events,233
floor,233
message,233
miles,233
dream,232
evening,232
expect,232
test,232
tired,232
growing,231
mark,231
view,231
extra,230
sick,230
original,229
text,229
choice,228
note,228
led,227
michael,227
calls,226
data,226
date,226
winning,226
account,225
attention,225
daughter,225
league,225
leaving,225
safe,225
amount,224
blood,224
economy,224
fair,224
gives,224
spending,224
